Key,English Value,Category,Priority,Notes
"dashboard.templates.form.creating","Creating...","dashboard","MEDIUM",""
"dashboard.templates.error.title","Failed to Load Templates","dashboard","MEDIUM",""
"dashboard.templates.failedToLoadBaseTemplates","Failed to load base templates","dashboard","MEDIUM",""
"dashboard.templates.empty.title","No Templates Yet","dashboard","MEDIUM",""
"dashboard.templates.empty.description","Create your first custom template to get started","dashboard","MEDIUM",""
"dashboard.templates.empty.createButton","Create First Template","dashboard","MEDIUM",""
"dashboard.templates.createSuccess","Template created successfully","dashboard","MEDIUM",""
"dashboard.templates.createError","Failed to create template","dashboard","MEDIUM",""
"dashboard.templates.deleteSuccess","Template deleted successfully","dashboard","MEDIUM",""
"dashboard.templates.deleteError","Failed to delete template","dashboard","MEDIUM",""
"dashboard.templates.validation.nameRequired","Template name is required","dashboard","MEDIUM",""
"dashboard.templates.validation.nameTooShort","Template name must be at least 3 characters","dashboard","MEDIUM",""
"dashboard.templates.validation.nameTooLong","Template name cannot exceed 100 characters","dashboard","MEDIUM",""
"dashboard.templates.validation.nameInvalidChars","Template name contains invalid characters","dashboard","MEDIUM",""
"dashboard.templates.validation.descriptionTooLong","Description cannot exceed 500 characters","dashboard","MEDIUM",""
"dashboard.templates.validation.descriptionInvalidChars","Description contains invalid characters","dashboard","MEDIUM",""
"dashboard.templates.validation.searchQueryRequired","Search query is required","dashboard","MEDIUM",""
"dashboard.templates.validation.searchQueryTooShort","Search query must be at least 2 characters","dashboard","MEDIUM",""
"dashboard.templates.validation.searchQueryInvalidChars","Search query contains invalid characters","dashboard","MEDIUM",""
"dashboard.templates.validation.colorInvalid","Invalid color format","dashboard","MEDIUM",""
"dashboard.templates.validation.fontSizeInvalid","Font size must be between 8px and 72px","dashboard","MEDIUM",""
"dashboard.templates.validation.spacingInvalid","Spacing must be between 0px and 100px","dashboard","MEDIUM",""
"dashboard.templates.validation.borderRadiusInvalid","Border radius must be between 0px and 50px","dashboard","MEDIUM",""
"dashboard.templates.validation.maxWidthInvalid","Maximum width must be between 200px and 2000px","dashboard","MEDIUM",""
"dashboard.templates.validation.lineHeightInvalid","Line height must be between 0.8 and 3.0","dashboard","MEDIUM",""
"dashboard.templates.validation.customizationInvalid","Template customization contains invalid values","dashboard","MEDIUM",""
"dashboard.templates.validation.importInvalidFormat","Invalid import file format","dashboard","MEDIUM",""
"dashboard.templates.validation.importInvalidData","Import data contains invalid template configuration","dashboard","MEDIUM",""
"dashboard.templates.validation.importFileTooLarge","Import file is too large (maximum 5MB)","dashboard","MEDIUM",""
"dashboard.invitations.manage.table.rsvp","RSVP","dashboard","MEDIUM",""
"dashboard.invitations.manage.delivery.whatsapp","WhatsApp","dashboard","MEDIUM",""
"dashboard.invitations.guestList.guestDetailsDialog.plusOnesCount","{{count}} {{plural}}","dashboard","MEDIUM",""
"dashboard.invitations.analytics.deliveryChannels.whatsapp","WhatsApp","dashboard","MEDIUM",""
"dashboard.invitations.analyticsCharts.delivery.email","Email","dashboard","MEDIUM",""
"dashboard.invitations.analyticsCharts.delivery.whatsapp","WhatsApp","dashboard","MEDIUM",""
"dashboard.invitations.rsvpPage.form.plusOnesPlaceholder","0","dashboard","MEDIUM",""
"dashboard.invitations.rsvpPage.memorial.dates","{{birthDate}} - {{deathDate}}","dashboard","MEDIUM",""
"dashboard.settings.title","Settings","dashboard","MEDIUM",""
"dashboard.settings.subtitle","Manage your account and memorial page preferences","dashboard","MEDIUM",""
"dashboard.settings.tabs.profile","Profile","dashboard","MEDIUM",""
"dashboard.settings.tabs.memorial","Memorial","dashboard","MEDIUM",""
"dashboard.settings.tabs.privacy","Privacy","dashboard","MEDIUM",""
"dashboard.settings.tabs.notifications","Notifications","dashboard","MEDIUM",""
"dashboard.settings.tabs.advanced","Advanced","dashboard","MEDIUM",""
"dashboard.settings.profile.title","Profile Information","dashboard","MEDIUM",""
"dashboard.settings.profile.description","Update your personal information and account details","dashboard","MEDIUM",""
"dashboard.settings.profile.firstName","First Name","dashboard","MEDIUM",""
"dashboard.settings.profile.lastName","Last Name","dashboard","MEDIUM",""
"dashboard.settings.profile.email","Email Address","dashboard","MEDIUM",""
"dashboard.settings.profile.phone","Phone Number","dashboard","MEDIUM",""
"dashboard.settings.profile.relationship","Relationship to Deceased","dashboard","MEDIUM",""
"dashboard.settings.profile.save","Save Profile Changes","dashboard","MEDIUM",""
"dashboard.settings.memorial.title","Memorial Page Settings","dashboard","MEDIUM",""
"dashboard.settings.memorial.description","Configure your memorial page appearance and behavior","dashboard","MEDIUM",""
"dashboard.settings.memorial.pageTitle","Memorial Page Title","dashboard","MEDIUM",""
"dashboard.settings.memorial.customUrl","Custom URL (Optional)","dashboard","MEDIUM",""
"dashboard.settings.memorial.theme","Theme","dashboard","MEDIUM",""
"dashboard.settings.memorial.publicMemorial.label","Public Memorial","dashboard","MEDIUM",""
"dashboard.settings.memorial.publicMemorial.description","Allow anyone to view the memorial page","dashboard","MEDIUM",""
"dashboard.settings.memorial.allowTributes.label","Allow Tributes","dashboard","MEDIUM",""
"dashboard.settings.memorial.allowTributes.description","Let visitors leave tribute messages","dashboard","MEDIUM",""
"dashboard.settings.memorial.moderateTributes.label","Moderate Tributes","dashboard","MEDIUM",""
"dashboard.settings.memorial.moderateTributes.description","Review tributes before they appear publicly","dashboard","MEDIUM",""
"dashboard.settings.memorial.save","Save Memorial Settings","dashboard","MEDIUM",""
"dashboard.settings.privacy.title","Privacy & Security","dashboard","MEDIUM",""
"dashboard.settings.privacy.description","Control who can see and interact with your memorial","dashboard","MEDIUM",""
"dashboard.settings.privacy.visibility","Memorial Visibility","dashboard","MEDIUM",""
"dashboard.settings.privacy.indexing","Search Engine Indexing","dashboard","MEDIUM",""
"dashboard.settings.privacy.access.title","Access Management","dashboard","MEDIUM",""
"dashboard.settings.privacy.access.additionalAdmins","Additional Administrators","dashboard","MEDIUM",""
"dashboard.settings.privacy.access.sendAdminInvites","Send Admin Invitations","dashboard","MEDIUM",""
"dashboard.settings.privacy.save","Save Privacy Settings","dashboard","MEDIUM",""
"dashboard.settings.notifications.title","Notification Preferences","dashboard","MEDIUM",""
"dashboard.settings.notifications.description","Choose how and when you want to be notified","dashboard","MEDIUM",""
"dashboard.settings.notifications.email.label","Email Notifications","dashboard","MEDIUM",""
"dashboard.settings.notifications.email.description","Receive updates via email","dashboard","MEDIUM",""
"dashboard.settings.notifications.types.newTributes","New Tributes","dashboard","MEDIUM",""
"dashboard.settings.notifications.types.photoUploads","Photo Uploads","dashboard","MEDIUM",""
"dashboard.settings.notifications.types.rsvpUpdates","RSVP Updates","dashboard","MEDIUM",""
"dashboard.settings.notifications.types.weeklySummary","Weekly Summary","dashboard","MEDIUM",""
"dashboard.settings.notifications.save","Save Notification Settings","dashboard","MEDIUM",""
"dashboard.settings.advanced.title","Advanced Settings","dashboard","MEDIUM",""
"dashboard.settings.advanced.description","Advanced options and data management","dashboard","MEDIUM",""
"dashboard.settings.advanced.export.title","Data Export","dashboard","MEDIUM",""
"dashboard.settings.advanced.export.description","Download all your memorial data including photos, tributes, and information","dashboard","MEDIUM",""
"dashboard.settings.advanced.export.button","Export Memorial Data","dashboard","MEDIUM",""
"dashboard.settings.advanced.domain.title","Custom Domain","dashboard","MEDIUM",""
"dashboard.settings.advanced.domain.description","Connect your own domain name to this memorial (Premium feature)","dashboard","MEDIUM",""
"dashboard.settings.advanced.domain.connect","Connect Domain","dashboard","MEDIUM",""
"dashboard.settings.advanced.danger.title","Danger Zone","dashboard","MEDIUM",""
"dashboard.settings.advanced.danger.archive","Archive Memorial","dashboard","MEDIUM",""
"dashboard.settings.advanced.danger.archiveDescription","Make the memorial private and stop accepting new tributes","dashboard","MEDIUM",""
"dashboard.settings.advanced.danger.delete","Delete Memorial","dashboard","MEDIUM",""
"dashboard.settings.advanced.danger.deleteDescription","Permanently delete this memorial and all associated data. This cannot be undone.","dashboard","MEDIUM",""
"dashboard.settings.advanced.account.title","Account Actions","dashboard","MEDIUM",""
"dashboard.settings.advanced.account.signOut","Sign Out","dashboard","MEDIUM",""
"dashboard.tributes.title","Tributes & Condolences","dashboard","MEDIUM",""
"dashboard.tributes.subtitle","Manage and moderate tribute messages from visitors","dashboard","MEDIUM",""
"dashboard.tributes.tabs.pending","Pending Review","dashboard","MEDIUM",""
"dashboard.tributes.tabs.approved","Approved","dashboard","MEDIUM",""
"dashboard.tributes.tabs.flagged","Flagged","dashboard","MEDIUM",""
"dashboard.tributes.tabs.all","All Tributes","dashboard","MEDIUM",""
"dashboard.tributes.actions.approve","Approve","dashboard","MEDIUM",""
"dashboard.tributes.actions.reject","Reject","dashboard","MEDIUM",""
"dashboard.tributes.actions.flag","Flag","dashboard","MEDIUM",""
"dashboard.tributes.empty.noPending","No Pending Tributes","dashboard","MEDIUM",""
"dashboard.tributes.empty.allReviewed","All tributes have been reviewed","dashboard","MEDIUM",""
"dashboard.tributes.live","Live","dashboard","MEDIUM",""
"dashboard.marketplace.title","Template Marketplace","dashboard","MEDIUM",""
"dashboard.marketplace.subtitle","Discover premium templates to enhance your memorials","dashboard","MEDIUM",""
"dashboard.marketplace.search.placeholder","Search templates...","dashboard","MEDIUM",""
"dashboard.marketplace.search.noResults","No templates found matching your search","dashboard","MEDIUM",""
"dashboard.marketplace.filters.all","All Templates","dashboard","MEDIUM",""
"dashboard.marketplace.filters.free","Free","dashboard","MEDIUM",""
"dashboard.marketplace.filters.premium","Premium","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.traditional","Traditional","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.modern","Modern","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.nature","Nature","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.religious","Religious","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.military","Military","dashboard","MEDIUM",""
"dashboard.marketplace.filters.categories.sports","Sports","dashboard","MEDIUM",""
